Atom_Key,Element,Oxidation_State,Atomic_Number,radii,Ionization_Energy,Electronegativity,Electron_Affinity,Atomic_Volume,HOMO,LUMO,Zunger_Radius,Group,Period,Block,Melting_Point,Boiling_Point,Thermal_Conductivity
Os6+,Os,6,76,0.545,814.1626216,2.2,103.9781447,8.42,-6.041,-1.216,2.65,8,6,d,3306,5285,88
Os7+,Os,7,76,0.525,814.1626216,2.2,103.9781447,8.42,-6.041,-1.216,2.65,8,6,d,3306,5285,88
Pb2+,Pb,2,82,1.49,715.5983602,2.33,34.41824498,18.26,-3.496,-0.642,2.09,14,6,p,600.61,2022,35
Pb4+,Pb,4,82,0.94,715.5983602,2.33,34.41824498,18.26,-3.496,-0.642,2.09,14,6,p,600.61,2022,35
Pd2+,Pd,2,46,0.86,804.3799109,2.2,54.23819368,8.56,-4.022,-3.348,2.45,10,5,d,1828.05,3236,72
Pd3+,Pd,3,46,0.76,804.3799109,2.2,54.23819368,8.56,-4.022,-3.348,2.45,10,5,d,1828.05,3236,72
Pd4+,Pd,4,46,0.615,804.3799109,2.2,54.23819368,8.56,-4.022,-3.348,2.45,10,5,d,1828.05,3236,72
Pm3+,Pm,3,61,1.144,538.566727,1.13,12.446565,20.23,-2.892,-2.794,3.99,3,6,f,1373,3273,15
Pr3+,Pr,3,59,1.179,527.792247,1.13,10.53950038,20.8,-3.055,-2.957,4.48,3,6,f,1208,3563,13
Pr4+,Pr,4,59,0.96,527.792247,1.13,10.53950038,20.8,-3.055,-2.957,4.48,3,6,f,1208,3563,13
Pt2+,Pt,2,78,0.8,864.3927126,2.28,205.0407559,9.09,-5.277,-0.692,2.7,10,6,d,2041.4,4098,72
Pt4+,Pt,4,78,0.625,864.3927126,2.28,205.0407559,9.09,-5.277,-0.692,2.7,10,6,d,2041.4,4098,72
Pt5+,Pt,5,78,0.57,864.3927126,2.28,205.0407559,9.09,-5.277,-0.692,2.7,10,6,d,2041.4,4098,72
Rb1+,Rb,1,37,1.72,403.0302047,0.82,46.88362552,55.76,-2.246,-0.734,4.1,1,5,s,312.46,961,58
